code,name,sector,exchange
002076,星光股份,C 制造业,SZ
002077,大港股份,C 制造业,SZ
002078,太阳纸业,C 制造业,SZ
002079,苏州固锝,C 制造业,SZ
002080,中材科技,C 制造业,SZ
002081,金 螳 螂,E 建筑业,SZ
002082,ST万邦,C 制造业,SZ
002083,孚日股份,C 制造业,SZ
002084,海鸥住工,C 制造业,SZ
002085,万丰奥威,C 制造业,SZ
002086,东方海洋,A 农林牧渔,SZ
002088,鲁阳节能,C 制造业,SZ
002090,金智科技,C 制造业,SZ
002091,江苏国泰,F 批发零售,SZ
002092,中泰化学,C 制造业,SZ
002093,国脉科技,I 信息技术,SZ
002094,青岛金王,C 制造业,SZ
002095,生 意 宝,I 信息技术,SZ
002096,易普力,C 制造业,SZ
002097,山河智能,C 制造业,SZ
002098,浔兴股份,C 制造业,SZ
002099,海翔药业,C 制造业,SZ
002100,天康生物,C 制造业,SZ
002101,广东鸿图,C 制造业,SZ
002102,ST能特,C 制造业,SZ
002103,广博股份,C 制造业,SZ
002104,恒宝股份,C 制造业,SZ
002105,信隆健康,C 制造业,SZ
002106,莱宝高科,C 制造业,SZ
002107,沃华医药,C 制造业,SZ
002108,沧州明珠,C 制造业,SZ
002109,ST兴化,C 制造业,SZ
002110,三钢闽光,C 制造业,SZ
002111,威海广泰,C 制造业,SZ
002112,三变科技,C 制造业,SZ
002114,罗平锌电,C 制造业,SZ
002115,三维通信,L 商务服务,SZ
002116,中国海诚,E 建筑业,SZ
002117,东港股份,C 制造业,SZ
002119,康强电子,C 制造业,SZ
002120,韵达股份,G 运输仓储,SZ
002121,科陆电子,C 制造业,SZ
002122,ST汇洲,C 制造业,SZ
002123,梦网科技,I 信息技术,SZ
002124,天邦食品,A 农林牧渔,SZ
002125,湘潭电化,C 制造业,SZ
002126,银轮股份,C 制造业,SZ
002127,南极电商,L 商务服务,SZ
002128,电投能源,B 采矿业,SZ
002129,TCL中环,C 制造业,SZ
002130,沃尔核材,C 制造业,SZ
002131,利欧股份,L 商务服务,SZ
002132,恒星科技,C 制造业,SZ
002133,广宇集团,K 房地产,SZ
002134,天津普林,C 制造业,SZ
002135,东南网架,C 制造业,SZ
002136,安 纳 达,C 制造业,SZ
002137,实益达,C 制造业,SZ
002138,顺络电子,C 制造业,SZ
002139,拓邦股份,C 制造业,SZ
002140,东华科技,E 建筑业,SZ
002141,贤丰控股,C 制造业,SZ
002142,宁波银行,J 金融业,SZ
002144,宏达高科,C 制造业,SZ
002145,钛能化学,C 制造业,SZ
002146,荣盛发展,K 房地产,SZ
002148,北纬科技,I 信息技术,SZ
002149,西部材料,C 制造业,SZ
002150,正泰电源,C 制造业,SZ
002151,北斗星通,C 制造业,SZ
002152,广电运通,C 制造业,SZ
002153,石基信息,I 信息技术,SZ
002154,报 喜 鸟,C 制造业,SZ
002155,湖南黄金,B 采矿业,SZ
002156,通富微电,C 制造业,SZ
002157,正邦科技,A 农林牧渔,SZ
002158,汉钟精机,C 制造业,SZ
002159,三特索道,N 公共环保,SZ
002160,常铝股份,C 制造业,SZ
002161,远 望 谷,C 制造业,SZ
002162,悦心健康,C 制造业,SZ
002163,海南发展,E 建筑业,SZ
002164,宁波东力,C 制造业,SZ
002165,红 宝 丽,C 制造业,SZ
002166,莱茵生物,C 制造业,SZ
002167,东方锆业,C 制造业,SZ
002168,ST惠程,C 制造业,SZ
002169,智光电气,C 制造业,SZ
002170,芭田股份,C 制造业,SZ
002171,楚江新材,C 制造业,SZ
002172,澳洋健康,Q 卫生,SZ
002173,创新医疗,Q 卫生,SZ
002174,游族网络,I 信息技术,SZ
002175,*ST东智,C 制造业,SZ
002176,江特电机,C 制造业,SZ
002177,御银股份,C 制造业,SZ
002178,延华智能,I 信息技术,SZ
002179,中航光电,C 制造业,SZ
002180,奔图科技,C 制造业,SZ
002181,粤 传 媒,L 商务服务,SZ
002182,宝武镁业,C 制造业,SZ
002183,怡 亚 通,L 商务服务,SZ
002184,海得控制,C 制造业,SZ
002185,华天科技,C 制造业,SZ
002186,全 聚 德,H 住宿餐饮,SZ
002187,广百股份,F 批发零售,SZ
002188,中天服务,K 房地产,SZ
002189,中光学,C 制造业,SZ
