排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
115,航天航空,BK0480,49861.66,77.73,0.16,1241703616000,0.75,23,32,航宇科技,7.38
116,消费电子概念,BK1646,1010.53,1.58,0.16,9464209664000,1.91,81,115,士兰微,9.99
117,EDR概念,BK1049,1687.13,2.6,0.15,356948752000,1.02,5,9,ST得润,4.26
118,汽车芯片,BK0969,1556.6,2.37,0.15,2137108048000,1.49,33,39,裕太微-U,7.32
119,先进封装,BK1101,3388.85,4.87,0.14,3743932992000,2.42,35,30,华润微,5.0
120,核能核电,BK0577,2678.78,3.44,0.13,4815115264000,0.6,70,122,杭齿前进,10.02
121,AIPC,BK1164,2540.28,2.99,0.12,1682195088000,1.54,21,25,崇达技术,6.42
122,汽车热管理,BK1089,1882.87,2.01,0.11,955463632000,1.05,35,55,飞龙股份,10.0
123,氟化工概念,BK0690,5889.12,6.51,0.11,1232809936000,1.31,17,23,中矿资源,5.85
124,HS300_,BK0500,12073.71,12.31,0.1,68029686016000,0.31,130,155,士兰微,9.99
125,GDR,BK0868,1000.02,0.97,0.1,1468621424000,0.43,7,4,科达制造,2.82
126,参股期货,BK0524,29402.06,28.39,0.1,2889379568000,0.54,18,26,高新发展,9.99
127,同步磁阻电机,BK1131,2070.18,2.03,0.1,92509869000,1.57,3,4,佳电股份,0.93
128,AI眼镜,BK1178,2218.33,1.94,0.09,3873211504000,1.51,60,74,可川科技,10.01
129,EDA概念,BK0946,1454.32,1.26,0.09,312276064000,0.77,3,8,概伦电子,6.24
130,军工,BK0490,74920.83,67.42,0.09,5716787968000,1.1,178,230,杭齿前进,10.02
131,MiniLED,BK0902,2465.45,2.21,0.09,1929790384000,1.53,24,41,联得装备,6.33
132,小米概念,BK0833,2394.33,1.92,0.08,8780642560000,1.57,90,138,共达电声,9.99
133,氢能源,BK0864,1425.98,1.19,0.08,5684715264000,0.71,121,136,和远气体,10.01
134,LED概念,BK0580,4702.11,3.84,0.08,2187679168000,1.65,29,57,士兰微,9.99
135,存储芯片,BK1137,2911.47,2.06,0.07,12171393280000,2.51,67,65,深科达,13.93
136,人形机器人,BK1184,1639.61,0.85,0.05,6813893888000,1.17,130,152,长华集团,6.88
137,科创板做市商,BK1107,1398.42,0.62,0.04,1866156800000,0.24,6,7,XD华泰证,1.09
138,MLOps概念,BK1132,991.07,0.39,0.04,137307522000,1.4,5,4,宇信科技,3.41
139,通用航空,BK0625,5157.4,1.37,0.03,856108416000,0.52,14,21,*ST中岩,3.3
140,中芯概念,BK0935,2694.61,0.73,0.03,4749885952000,1.86,32,34,天华新能,8.83
141,蚂蚁金服概念,BK0937,711.36,0.23,0.03,5609037056000,0.37,22,34,雄帝科技,9.35
142,碳纤维,BK1171,1605.15,0.3,0.02,537839280000,1.16,20,23,银禧科技,6.41
143,华为汽车,BK0984,2092.34,0.32,0.02,1743244032000,0.83,49,72,豪美新材,9.99
144,数据中心,BK0922,2008.31,0.11,0.01,11159063552000,0.98,113,170,福达合金,9.99
145,大飞机,BK0814,1687.93,0.1,0.01,1882597456000,0.77,46,51,航宇科技,7.38
146,2026中报预增,BK1749,1028.25,0.14,0.01,25793681664000,1.35,267,292,汉森制药,10.04
147,可燃冰,BK0818,1505.0,0.06,0.0,218193352000,0.55,5,4,中海油服,1.79
148,抽水蓄能,BK1003,1744.52,0.08,0.0,1683070288000,0.47,12,26,金盘科技,12.51
149,海洋经济,BK0623,3172.19,-0.04,0.0,2266667952000,0.89,38,68,招商轮船,8.34
150,商业航天,BK0963,2317.73,-0.34,-0.01,5852724736000,1.25,146,152,航宇科技,7.38
