板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,000568,泸州老窖,1994-05-09,"1,471,901,463","1,471,060,137",C 制造业
主板,000570,苏常柴Ａ,1994-07-01,"555,692,507","555,692,507",C 制造业
主板,000571,新大洲A,1994-05-25,"839,129,000","813,992,150",B 采矿业
主板,000572,海马汽车,1994-08-08,"1,644,636,426","1,642,253,067",C 制造业
主板,000573,粤宏远Ａ,1994-08-15,"638,280,604","632,559,819",C 制造业
主板,000576,甘化科工,1994-09-07,"436,418,214","433,815,261",C 制造业
主板,000581,威孚高科,1998-09-24,"794,405,693","793,891,049",C 制造业
主板,000582,北部湾港,1995-11-02,"2,517,084,480","2,156,834,056",G 运输仓储
主板,000586,汇源通信,1995-12-20,"193,440,000","191,190,000",C 制造业
主板,000589,贵州轮胎,1996-03-08,"1,554,390,104","1,544,110,704",C 制造业
主板,000590,古汉医药,1996-01-19,"239,471,267","239,351,027",C 制造业
主板,000591,太阳能,1996-02-08,"3,904,853,515","3,903,396,566",D 水电煤气
主板,000592,平潭发展,1996-03-27,"1,931,780,892","1,915,092,449",C 制造业
主板,000593,德龙汇能,1996-03-12,"358,631,009","358,483,019",D 水电煤气
主板,000595,新能股份,1996-04-19,"1,138,656,366","1,138,652,616",C 制造业
主板,000596,古井贡酒,1996-09-27,"408,600,000","408,599,250",C 制造业
主板,000597,东北制药,1996-05-23,"1,426,928,265","1,409,203,737",C 制造业
主板,000598,兴蓉环境,1996-05-29,"2,984,008,721","2,983,477,196",D 水电煤气
主板,000599,青岛双星,1996-04-30,"2,443,113,119","816,742,112",C 制造业
主板,000600,建投能源,1996-06-06,"1,803,234,376","1,090,043,376",D 水电煤气
主板,000601,韶能股份,1996-08-30,"1,064,084,929","1,048,135,024",D 水电煤气
主板,000603,盛达资源,1996-08-23,"689,969,346","666,716,359",B 采矿业
主板,000605,渤海股份,1996-09-13,"352,658,600","352,658,600",D 水电煤气
主板,000607,华媒控股,1996-08-30,"1,017,698,410","885,062,168",L 商务服务
主板,000608,阳光股份,1996-09-19,"749,913,309","576,849,309",K 房地产
主板,000609,*ST中迪,1996-10-10,"299,265,522","291,048,022",S 综合
主板,000610,*ST西旅,1996-09-26,"236,747,901","235,504,294",L 商务服务
主板,000612,焦作万方,1996-09-26,"1,192,199,394","1,192,199,394",C 制造业
主板,000615,*ST美谷,1996-10-16,"1,787,492,693","925,268,455",Q 卫生
主板,000617,中油资本,1996-10-22,"12,642,079,079","12,642,076,829",J 金融业
主板,000619,海螺新材,1996-10-23,"441,168,831","360,000,000",C 制造业
主板,000620,盈新发展,1996-10-29,"5,871,815,040","4,671,725,265",K 房地产
主板,000623,吉林敖东,1996-10-28,"1,195,895,387","1,191,023,318",C 制造业
主板,000625,长安汽车,1997-06-10,"8,271,290,771","8,267,047,608",C 制造业
主板,000626,远大控股,1996-11-28,"506,626,864","504,312,771",F 批发零售
主板,000628,高新发展,1996-11-18,"352,280,000","192,238,585",E 建筑业
主板,000629,钒钛股份,1996-11-15,"9,290,947,845","9,290,444,430",C 制造业
