date,open,close,high,low,volume,amount,rsi14,macd,macd_signal,macd_hist,ma5,ma10,ma20,bb_upper,bb_middle,bb_lower,atr14,vol_ma20,ma60
2026-05-12,2.165,2.091,2.167,2.076,2208553,465152560.0,58.83495145631069,0.040805634202532,0.0245678476039794,0.0162377865985525,2.1134,2.0465,2.0175500000000004,2.1566531045096085,2.0175500000000004,1.8784468954903923,0.0560714285714286,1845001.35,2.013116666666667
2026-05-13,2.07,2.119,2.128,2.07,2333900,492935021.0,56.91056910569106,0.04269911802802,0.0281941016887875,0.0145050163392325,2.1166,2.0628,2.0262,2.168057749356995,2.0262,1.8843422506430056,0.0547857142857143,1899703.2,2.0149
2026-05-14,2.119,2.051,2.125,2.05,1658424,344936896.0,51.376146788990845,0.0382715156915449,0.030209584489339,0.0080619312022059,2.1056,2.0727,2.03035,2.169875926660698,2.03035,1.8908240733393016,0.0576428571428572,1929919.85,2.01695
2026-05-15,2.039,2.035,2.097,2.021,2230194,455738134.0,49.64157706093189,0.0330901005767394,0.0307856877068191,0.0023044128699203,2.0916,2.0846,2.0334,2.170383133806205,2.0334,1.896416866193795,0.061,1982824.75,2.0182333333333333
2026-05-18,2.015,2.005,2.032,1.987,1509370,303134047.0,55.06958250497018,0.0262603297537236,0.0298806161162,-0.0036202863624764,2.0602000000000005,2.0823,2.0368000000000004,2.1669118547129447,2.0368000000000004,1.9066881452870563,0.0577142857142857,1993914.5,2.01795
2026-05-19,1.997,1.976,2.002,1.942,2052673,403979564.0,51.886792452830186,0.0182967163766747,0.0275638361682949,-0.0092671197916202,2.0372,2.0753,2.03655,2.167131654228505,2.03655,1.905968345771495,0.0592857142857143,2009947.2,2.0168666666666666
2026-05-20,1.953,1.997,2.011,1.936,1795254,352928000.0,54.11334552102378,0.0135241222336683,0.0247558933813696,-0.0112317711477012,2.0128,2.0647,2.0364,2.1671651973657573,2.0364,1.905634802634243,0.0629285714285714,2032236.15,2.0153666666666665
2026-05-21,1.999,1.947,2.032,1.945,1659829,332176693.0,52.76292335115866,0.0056421852585648,0.0209331517568086,-0.0152909664982438,1.992,2.0488000000000004,2.0312,2.167667617134308,2.0312,1.894732382865692,0.0659285714285714,1969092.05,2.01235
2026-05-22,1.945,1.997,2.002,1.943,1311128,259150321.0,46.89378757515031,0.0033911840927878,0.0174247582240045,-0.0140335741312166,1.9844,2.0380000000000003,2.02925,2.1665408936298567,2.02925,1.891959106370144,0.0616428571428571,1961087.75,2.011233333333333
2026-05-25,2.001,2.007,2.018,1.973,1240429,247248660.0,46.02851323828924,0.0023866540159791,0.0144171373823994,-0.0120304833664202,1.9848,2.0225,2.0276500000000004,2.1652080642951623,2.0276500000000004,1.8900919357048385,0.0622142857142857,1959076.55,2.0095666666666667
2026-05-26,1.989,2.015,2.015,1.97,1784118,355490879.0,40.045248868778266,0.002210607328839,0.0119758313716873,-0.0097652240428483,1.9926,2.0149,2.0307000000000004,2.16402208724502,2.0307000000000004,1.8973779127549804,0.0605714285714285,1872779.25,2.0059
2026-05-27,2.015,1.954,2.023,1.94,1418697,281274121.0,34.800000000000026,-0.0028186099597053,0.0090169431054088,-0.0118355530651142,1.984,1.9984,2.0306,2.164160788446784,2.0306,1.897039211553216,0.0640714285714285,1855256.2,2.001533333333333
2026-05-28,1.938,1.997,2.004,1.938,1492575,294560053.0,40.03690036900371,-0.0032965595736964,0.0065542425695877,-0.0098508021432842,1.994,1.993,2.03285,2.1622880973772087,2.03285,1.903411902622791,0.0663571428571428,1883334.6,1.9963666666666666
2026-05-29,1.991,1.912,2.0,1.9,1586781,307249417.0,28.07017543859652,-0.0104140806721373,0.0031605779212427,-0.01357465859338,1.9770000000000003,1.9807,2.0326500000000003,2.1628583755087663,2.0326500000000003,1.9024416244912343,0.0693571428571428,1879020.35,1.9898833333333334
2026-06-01,1.903,1.895,1.934,1.887,1233981,235644348.0,31.00775193798451,-0.0172279324652504,-0.0009171241560558,-0.0163108083091945,1.9546,1.9697,2.026,2.1700570062601328,2.026,1.8819429937398668,0.0662142857142857,1805895.85,1.98575
2026-06-02,1.884,1.918,1.927,1.848,914363,172540179.0,30.33268101761253,-0.0205353327878858,-0.0048407658824218,-0.0156945669054639,1.9352,1.9639,2.0196,2.171096951506589,2.0196,1.8681030484934096,0.0677142857142857,1738877.45,1.98155
2026-06-03,1.912,1.963,1.985,1.901,1498055,293554333.0,40.98360655737706,-0.0193028363707155,-0.0077331799800806,-0.0115696563906348,1.937,1.9605,2.0126,2.1607725878476662,2.0126,1.8644274121523337,0.0683571428571428,1735016.25,1.9782499999999998
2026-06-04,1.944,1.969,1.97,1.914,1273442,247050220.0,43.09623430962344,-0.0176385974527533,-0.0097142634746151,-0.0079243339781381,1.9314,1.9627,2.00575,2.1483024834098536,2.00575,1.8631975165901464,0.0669285714285714,1724225.35,1.9753666666666665
2026-06-05,1.956,1.969,2.008,1.939,1465599,289552613.0,45.98214285714288,-0.0161336969050309,-0.0109981501606983,-0.0051355467443326,1.9428,1.9599,1.99895,2.134364334932695,1.99895,1.863535665067305,0.0684285714285714,1709892.2,1.9728833333333333
2026-06-08,1.914,1.875,1.944,1.86,1492769,283827184.0,40.15594541910333,-0.0222693594741367,-0.013252392023386,-0.0090169674507507,1.9388,1.9467000000000003,1.9846,2.107512720424318,1.9846,1.861687279575682,0.0717142857142857,1608006.7,1.96845
2026-06-09,1.89,1.947,1.953,1.872,1704356,326468727.0,45.56737588652482,-0.0210791308946713,-0.014817739797643,-0.0062613910970283,1.9446,1.9399,1.9774,2.090552714691724,1.9774,1.864247285308276,0.0721428571428571,1582796.85,1.9655500000000001
2026-06-10,1.922,1.915,1.957,1.901,1360815,262502156.0,47.06959706959707,-0.0224591041626722,-0.0163460126706489,-0.0061130914920233,1.935,1.936,1.9672,2.0618786253874912,1.9672,1.872521374612509,0.0699285714285714,1534142.6,1.9622166666666667
2026-06-11,1.9,1.931,1.947,1.897,1409800,271515413.0,43.5546875,-0.0220079823166594,-0.017478406599851,-0.0045295757168084,1.9274,1.9294,1.9612000000000005,2.048434951952226,1.9612000000000005,1.8739650480477748,0.0692857142857143,1521711.4,1.959933333333333
2026-06-12,1.962,1.976,2.039,1.951,1404892,279458587.0,47.16636197440584,-0.0178139924678839,-0.0175455237734576,-0.0002684686944263,1.9288,1.9358,1.95825,2.038703647982463,1.95825,1.877796352017537,0.0737857142857143,1480446.3,1.9591500000000002
2026-06-15,2.008,2.038,2.039,1.975,1422208,285115165.0,51.91347753743758,-0.0093792255781839,-0.0159122641344028,0.0065330385562189,1.9614,1.9501,1.9599,2.0455747828771944,1.9599,1.8742252171228049,0.0751428571428571,1476088.2,1.9603166666666667
2026-06-16,2.05,2.102,2.124,2.019,2375673,497912213.0,62.25165562913906,0.0024415088861473,-0.0122415095302928,0.0146830184164401,1.9924,1.9685,1.9662,2.072827931563336,1.9662,1.8595720684366643,0.0767142857142857,1492238.2,1.96235
